Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
Azerbaijan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 Notes: Data prior to 2001 cannot be confirmed at this time. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 08/2021",n/a,9.27,7.129,5.726,4.98,5.106,5.56,5.894,6.566,6.974,7.427,8.128,8.957,9.786,12.523,16.839,21.127,23.364,25.553,26.777,26.356,26.936,28.51,29.308,29.616,28.708,28.752,29.184,29.907,28.624,29.471,2020
The Bahamas,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: No Primary domestic currency: Bahamian dollar Data last updated: 09/2021,7.257,6.979,7.001,7.221,7.537,7.856,8.244,8.633,9.25,9.634,9.887,10.154,10.026,10.114,10.458,10.721,10.876,10.623,10.18,10.336,10.4,10.721,10.336,10.573,10.741,10.751,10.925,11.228,11.307,9.666,9.859,2019
Bahrain,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. Prior to 1990 data are IMF staff estimates Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Bahrain dinar Data last updated: 09/2021,3.765,4.033,4.34,4.479,4.565,4.714,4.824,5.058,5.36,5.736,5.879,6.076,6.459,6.91,7.377,7.854,8.506,9.037,9.266,9.668,9.86,10.228,10.782,11.251,11.53,11.941,12.453,12.667,12.991,12.33,12.631,2020
Bangladesh,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. Bangladesh Bureau of Statistics Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: July/June. Authorities report July/June Base year: FY2005/06. The base year is in fiscal year Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 09/2021,"2,245.40","2,358.56","2,466.44","2,567.19","2,693.62","2,818.12","2,969.95","3,125.14","3,277.38","3,472.21","3,655.33","3,816.72","4,017.33","4,269.24","4,523.49","4,823.37","5,163.83","5,474.37","5,750.56","6,070.97","6,463.42","6,884.93","7,298.96","7,741.36","8,248.62","8,835.39","9,478.99","10,224.38","11,057.94","11,445.97","11,972.35",2020
Barbados,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. The National Statistics Office is the primary source of National Accounts Data. Partial data is published on the central bank website. Expenditure side not available. Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2010. Constant price GDP is based on 1974 as base year, compiled by the Central bank of Barbados (CBB). Currently, the Barbados Statistical Services (BSS) ,with the assistance of CARTAC, began compiling constant price GDP by industry using 2010 as base year. Chain-weighted: No Primary domestic currency: Barbados dollar Data last updated: 08/2021",7.236,6.824,6.878,7.016,7.158,7.442,7.795,8.086,8.112,8.474,8.273,8.339,8.52,8.639,8.982,9.491,9.7,9.768,9.272,9.06,8.999,8.958,8.832,8.821,9.037,9.261,9.305,9.251,9.132,7.488,7.735,2019
Belarus,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2020 Notes: The national accounts have been updated from 2014 onwards. Prior to 2014 the data are adjusted to produce smooth series with the use of a splicing technique. These estimates continue to serve as proxies for historical series when complete information is unavailable. Statistical discrepancies between GDP and components are a consequence of statistical discrepancies reported by the authorities and chain-weighting. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2018 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian ruble Data last updated: 09/2021",n/a,55.83,51.587,45.551,40.502,41.626,46.385,50.301,51.988,54.983,57.576,60.483,64.737,72.143,78.961,86.858,94.359,104.017,104.191,112.324,118.266,120.192,121.348,123.394,118.669,115.66,118.598,122.32,124.089,122.912,125.457,2020
Belgium,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series, following benchmark national account revision 1995-2018 released in Sept 2019. Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euro Data last updated: 09/2021",269.34,273.463,270.832,279.572,286.239,290.021,301.023,306.928,317.802,329.614,333.239,338.927,342.445,354.674,362.91,372.17,385.855,387.581,379.748,390.626,397.245,400.181,402.019,408.365,416.701,421.98,428.823,436.489,444.279,416.361,439.825,2020
Belize,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020. National accounts data in real and nominal terms from the production and expenditure sides are available at annual frequency and are published once a year. Data up to 2019 was released on April 2021. Real GDP from the supply side is also published at quarterly frequency. The latest data published in August 2021 goes to the second quarter of 2021. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Belize dollar Data last updated: 09/2021,1.035,1.16,1.232,1.234,1.242,1.26,1.305,1.354,1.472,1.664,1.748,1.837,2.008,2.09,2.131,2.234,2.245,2.323,2.329,2.398,2.445,2.504,2.536,2.639,2.708,2.707,2.756,2.836,2.886,2.481,2.692,2020
Benin,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 07/2021,"2,462.04","2,534.86","2,682.80","2,737.00","2,902.46","3,027.97","3,201.62","3,328.43","3,473.49","3,676.96","3,873.05","4,052.88","4,192.44","4,378.16","4,453.16","4,628.78","4,905.88","5,146.10","5,265.45","5,376.76","5,536.12","5,802.47","6,219.75","6,615.19","6,732.81","6,957.67","7,352.28","7,844.68","8,383.27","8,705.92","9,185.70",2019
Bhutan,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: FY2019/20. Fiscal year data are mapped to calendar year as follows: FY(t/t+1) = CY(t+1) National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Factor costs Start/end months of reporting year: July/June Base year: FY2000/01. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Bhutanese ngultrum Data last updated: 09/2021",11.999,12.248,12.639,12.922,13.699,14.517,15.322,16.243,17.394,18.6,19.909,21.804,23.836,25.475,27.173,29.113,32.857,36.459,38.574,42.232,46.399,49.413,51.183,53.214,56.524,60.712,64.55,67.025,69.893,69.322,67.994,2020
Bolivia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1990 Chain-weighted: No Primary domestic currency: Bolivian boliviano Data last updated: 08/2021,16.256,16.524,17.23,18.034,18.877,19.701,20.677,21.717,21.809,22.356,22.733,23.298,23.929,24.928,26.03,27.279,28.524,30.278,31.294,32.586,34.281,36.037,38.487,40.588,42.56,44.374,46.236,48.189,49.257,44.908,47.131,2020
Bosnia and Herzegovina,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 2000 Primary domestic currency: Bosnian convertible marka Data last updated: 09/2021",n/a,n/a,n/a,n/a,n/a,11.305,13.889,15.807,17.506,18.284,18.716,19.662,20.42,21.698,22.617,23.904,25.334,26.751,26.532,26.736,26.979,26.788,27.418,27.733,28.589,29.488,30.425,31.563,32.456,31.052,31.921,2020
Botswana,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008. The authority just updated and rebased national accounts using 2008 SNA from 2014 onwards. Before that, data are still based on 1993 SNA GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2016. From 2014 onwards, the base year was just updated to 2016. Before 2014, data are back-cast: GDP series uses the growth rates of the previous data (a ratio-splice); GDP components uses the share of GDP. Chain-weighted: No Primary domestic currency: Botswana pula Data last updated: 08/2021",59.83,59.705,62.109,61.621,65.953,69.798,75.401,75.945,83.287,84.942,85.155,90.324,94.501,97.059,101.481,109.969,119.075,126.508,116.827,126.832,134.503,140.496,156.434,162.924,153.609,164.418,171,177.807,183.128,167.576,182.929,2020
Brazil,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1995 Chain-weighted: No Primary domestic currency: Brazilian real Data last updated: 09/2021,616.155,613.279,641.888,676.129,705.992,721.586,746.082,748.605,752.108,785.111,796.023,820.328,829.688,877.477,905.575,941.453,998.598,"1,049.47","1,048.15","1,127.06","1,171.85","1,194.36","1,230.25","1,236.45","1,192.61","1,153.54","1,168.80","1,189.65","1,206.44","1,157.47","1,218.00",2020
Brunei Darussalam,"Gross domestic product, constant prices",National currency,Billions,Source: Ministry of Finance or Treasury. Department of Economic Planning and Statistics Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: No Primary domestic currency: Brunei dollar Data last updated: 08/2021,14.369,15.053,15.098,15.574,16.271,16.74,16.493,16.4,16.901,17.383,17.861,18.552,19.091,19.187,19.261,20.051,19.296,18.543,18.191,18.69,19.39,19.567,19.151,18.671,18.595,18.137,18.378,18.387,19.099,19.311,19.692,2020
Bulgaria,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: European System of Accounts (ESA) 2010 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: Yes, from 1996 Primary domestic currency: Bulgarian lev Data last updated: 09/2021",87.173,79.828,70.548,67.962,66.874,61.495,52.767,55.029,50.472,52.885,54.904,58.173,61.169,65.11,69.768,74.513,79.399,84.231,81.388,81.844,83.771,84.07,84.343,85.934,89.362,92.776,96.026,98.996,102.653,98.389,102.856,2020
Burkina Faso,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. The ministry of economy also provides estimates Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,"1,962.92","1,967.49","2,035.59","2,062.36","2,180.25","2,420.40","2,573.29","2,761.34","2,963.84","3,019.81","3,219.52","3,359.66","3,621.80","3,784.00","4,111.77","4,368.88","4,548.51","4,812.32","4,954.86","5,373.36","5,729.21","6,098.90","6,452.18","6,731.36","6,995.31","7,412.09","7,871.90","8,401.77","8,880.63","9,052.05","9,655.59",2020
Burundi,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. National Statistics Office / World Bank. World Bank estimates from 2012 onwards. Latest actual data: 2019. World Bank estimates used 2012-2019. National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: Burundi franc Data last updated: 08/2021,"1,252.07","1,264.68","1,185.81","1,140.40","1,050.09",966.07,970.063,"1,016.16","1,027.99","1,046.30","1,063.72","1,088.75","1,115.64","1,157.65","1,208.24","1,273.66","1,317.62","1,381.68","1,434.36","1,507.86","1,568.67","1,638.42","1,719.10","1,792.00","1,722.11","1,711.78","1,720.34","1,748.03","1,780.24","1,761.73","1,790.51",2019
Cabo Verde,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2019 Notes: The national accounts data have been revised from 2002 onward. The new data are obtained through a new computation methodology that uses an updated input-output table. The base year for the constant prices data is 2007. National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2011 Primary domestic currency: Cabo Verdean escudo Data last updated: 09/2021",40.415,41.646,44.69,47.787,51.367,54.805,58.992,63.955,71.54,76.739,81.449,85.752,92.185,96.727,102.347,111.679,121.974,130.086,128.433,130.317,135.489,136.955,138.054,138.898,140.297,146.899,152.337,159.24,168.265,143.39,149.118,2019
Cambodia,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000. The GDP deflator data from the authorities do not equal 100 in the base period Chain-weighted: No Primary domestic currency: Cambodian riel Data last updated: 08/2021,"7,714.55","8,259.91","8,593.78","9,296.87","9,852.69","10,433.75","10,851.79","11,359.84","12,803.15","14,029.08","15,230.15","16,232.13","17,612.82","19,434.07","22,009.11","24,379.73","26,869.52","28,667.52","28,692.37","30,403.32","32,552.70","34,933.40","37,503.33","40,182.03","43,009.27","45,961.04","49,176.89","52,849.99","56,578.09","54,800.95","55,859.79",2020
Cameroon,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,"6,466.48","6,269.24","6,071.25","5,919.78","6,115.39","6,415.77","6,756.72","7,087.48","7,375.40","7,637.47","7,971.08","8,308.83","8,688.32","9,277.47","9,464.93","9,792.20","10,272.23","10,630.61","10,864.34","11,236.17","11,700.15","12,231.72","12,892.75","13,651.37","14,422.87","15,093.31","15,628.99","16,263.91","16,869.05","16,609.03","17,211.05",2020
Canada,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2012 Chain-weighted: Yes, from 1980 Primary domestic currency: Canadian dollar Data last updated: 09/2021","1,069.36","1,078.99","1,107.70","1,157.48","1,188.66","1,207.91","1,259.61","1,308.69","1,376.25","1,447.51","1,473.42","1,517.89","1,545.23","1,592.93","1,643.97","1,687.28","1,722.24","1,739.53","1,688.64","1,740.81","1,795.58","1,827.20","1,869.76","1,923.42","1,936.10","1,955.49","2,014.93","2,063.89","2,102.30","1,990.61","2,103.83",2020
Central African Republic,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 08/2021,647.71,615.823,608.447,684.942,706.63,663.119,690.339,713.398,733.994,707.712,726.177,741.364,724.689,723.99,745.21,780.637,812.103,833.326,856.758,896.435,934.038,981.241,624.148,624.65,651.75,682.705,713.615,740.874,762.88,770.276,762.59,2017
Chad,"Gross domestic product, constant prices",National currency,Billions,Source: Central Bank Latest actual data: 2017 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: No Primary domestic currency: CFA franc Data last updated: 09/2021,"1,467.05","1,502.14","1,470.98","1,551.80","1,539.77","1,572.35","1,661.24","1,776.72","1,764.59","1,749.06","1,952.97","2,118.80","2,430.73","3,248.16","3,518.12","3,540.93","3,656.77","3,768.78","3,924.76","4,458.43","4,463.76","4,856.90","5,136.33","5,490.38","5,587.53","5,277.00","5,151.42","5,270.04","5,426.04","5,381.49","5,432.04",2017
Chile,"Gross domestic product, constant prices",National currency,Billions,"Source: Central Bank. Real annual data based on seasonally adjusted quarterly data. Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2013 Chain-weighted: Yes, from 2003 Primary domestic currency: Chilean peso Data last updated: 09/2021","46,018.42","51,141.03","54,578.55","57,341.08","62,412.54","66,701.47","71,648.22","74,769.32","74,428.35","78,399.45","80,987.81","83,495.25","86,910.59","93,170.11","98,519.54","104,742.47","109,886.93","113,806.07","111,998.54","118,521.37","125,773.46","132,479.58","137,840.50","140,274.38","143,495.37","145,970.22","147,655.25","153,145.03","154,700.00","145,657.18","161,678.54",2020
China,"Gross domestic product, constant prices",National currency,Billions,Source: National Statistics Office. Data retrieved from CEIC Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices. Authorities publish production-based measure; staff estimates expenditure-based measures. Start/end months of reporting year: January/December Base year: 2015 Chain-weighted: No Primary domestic currency: Chinese yuan Data last updated: 09/2021,"7,028.93","8,032.48","9,147.34","10,339.11","11,473.20","12,611.46","13,777.67","14,860.05","16,001.37","17,357.02","18,800.95","20,514.56","22,570.42","24,853.26","27,683.90","31,202.53","35,647.90","39,067.36","42,757.50","47,294.46","51,811.50","55,877.49","60,219.52","64,670.54","69,209.37","73,950.57","79,087.70","84,426.81","89,451.01","91,545.99","98,883.74",2020
Colombia,"Gross domestic product, constant prices",National currency,Billions,"Source: National Statistics Office Latest actual data: 2020 National accounts manual used: System of National Accounts (SNA) 2008 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2015. DANE (Colombia Institute of Statistics) has done a rebasing of the national accounts (now base year is 2015 and before 2005). Data with the new base is ONLY AVAILABLE FROM 2005. The change also includes methodological changes (for example, direct estimation of private consumption based on a survey) and most important, change in the index formulae (historically a Laspeyres fixed-base index and now a Laspeyres chain index). The main implications are that the 2005 and 2015 series are not comparable and the chain index is associated with non-additivity of the components. Chain-weighted: Yes, from 2005 Primary domestic currency: Colombian peso Data last updated: 09/2021","337,456.63","352,146.98","372,255.14","391,416.40","411,779.60","420,245.19","434,660.83","437,137.46","418,760.13","431,008.29","438,240.17","449,213.62","466,815.03","491,710.38","514,853.00","549,434.00","586,456.00","605,713.00","612,615.00","640,151.00","684,628.00","711,415.00","747,939.00","781,588.00","804,693.00","821,490.00","832,656.00","854,008.00","882,029.00","822,088.00","884,633.42",2020
Comoros,"Gross domestic product, constant prices",National currency,Billions,"Source: Ministry of Finance or Treasury. Planning Commissariat Latest actual data: 2019 National accounts manual used: System of National Accounts (SNA) 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2007 Chain-weighted: Yes, from 2007 Primary domestic currency: Comorian franc Data last updated: 09/2021",199.553,214.283,219.663,210.862,222.734,221.565,231.318,231.35,237.651,235.353,248.167,259.622,264.739,272.947,288.628,283.35,285.627,296.951,306.574,318.156,331.339,341.837,357.104,364.627,369.365,382.132,398.096,412.582,419.826,417.713,424.395,2019
